id,entity_id,name,description
6e2fdc30-613d-4994-b38e-c7af239b6739,ffd58564-51ab-4574-970d-fd926def7780,Laser gun,Deals 5 damage
786e188a-bf33-4018-9c1c-55d7096bdfc5,8944afb7-6c61-4f95-86e0-3b57b2be79c8,Ray gun,Deals 3 damage
839e0c5a-fae5-40b2-8ee7-9b7e7b7a5164,ae79a829-06ea-4ef0-aae7-6816cca190d0,Plasma gun,Deals 4 damage or 8 to mechanical targets
a6e1670f-6227-4cce-a46f-168da9109225,6a23bb4e-e74c-4d2e-bcdc-63d0965b8054,Laser gun,Deals 5 damage
c86b66c6-59db-4f22-b0c0-12982c1efa58,9511d8a9-6d45-4fd0-b75b-e949c36fed78,Kinetic rifle,Deals 1 damage
25e2aca5-af8c-49fb-8ccf-f673db3a79fb,2a24498c-cf18-4fce-87d5-f4b61d4b8a76,Hydraulic arm,Deals 4 damage
1dc77560-85d8-4423-bf2a-f3f9312dab58,fe1c677c-94cb-41ff-a407-0f5d61551347,None,—
2587795c-bf7c-46b2-bf2a-1ac6083fca65,c6dc76d6-686e-4813-a262-1938a08c4f17,Burst-fire assault carbine with smart targeting,"Deals 5 damage, enhanced accuracy"
bbb8ff58-cf10-4aca-988c-6b1dbe5420a6,8aeb6286-628a-4507-9f2e-bd898879ef1c,Heavy-duty energy pistol,"Deals 5 damage, ignores cover"
b03650b1-a784-4bbf-ae9c-9856359a7907,05db5515-a648-4f50-a34f-5e3a303b24c1,Silenced magnetic SMG,"Deals 4 damage, +2 vs AI targets"
